F,,,,,DENIED,,,,Aprobación Final / Final approval,
,,,,,SUSPENDED,,,       ANTI-CHEAT,,
,,,,,OBSERVATION,,, DESKTOP RECORD,,
,,,,,OK,,, WEBCAM RECORD,,
,,,,,,,,,,
,Team name,Nickname/pf steam,Steam64 ID/ ban list,l4d2center linkview,Status,VIO,Region,Anticheat/Record,Pepinis,MK
,,cjdn ,76561199348281374,X,OK,,,       ANTI-CHEAT,,
,,❀桜羽エマ❀,76561198987976516,Not found,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,CERO RESPETO,Ámclre,76561198979571799,X,OK,,SA,,,
,,Fully,76561198263486811,X,OK,,,,,
,,H 3 R 0,76561199579504921,X,OK,,,,,
,,IDKE,76561198967508312,X,OK,,,,,
,,jeanlycan,76561199012364497,X,OK,,,,,
,,Frijol,76561198194468409,X,OK,,,,,
,,,,,,,,,,
,Question Mark,NF ,76561199546646746,X,OK,,RU,       ANTI-CHEAT,,
,,xeniux ,76561199544952070,X,OK,,,       ANTI-CHEAT,,
,,SnipE ,76561197994124149,X,OK,,,       ANTI-CHEAT,,
,,ice ,76561198020845546,X,OK,,,       ANTI-CHEAT,,
,,h9yota ,76561199688526047,Not found,OK,,,       ANTI-CHEAT,,
,,089 ,76561199181688164,Not found,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,uwin,xanny,76561198246615780,X,OK,,RU,       ANTI-CHEAT,,
,,mafia,76561198202479432,Not found,OK,,,       ANTI-CHEAT,,
,,wreghqq ,76561199547588415,X,OK,,,       ANTI-CHEAT,,
,,axxturel ,76561198981730264,X,OK,,,       ANTI-CHEAT,,
,,Kitiket ,76561199157982270,X,OK,,,       ANTI-CHEAT,,
,,noro ,76561198395415692,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Universidad Mayor de Moquegua,Naw ,76561199231786910,X,OK,,SA,       ANTI-CHEAT,,
,,Moises ,76561199467163845,X,OK,,,       ANTI-CHEAT,,
,,Reinhard ,76561199684646370,X,OK,,,       ANTI-CHEAT,,
,,Sky ,76561199362652801,X,OK,,,       ANTI-CHEAT,,
